pathway	old_NES	old_padj	new_NES	new_padj	file	complete_pair	significance_state
HALLMARK_MYC_TARGETS_V1	1.46462435844391	0.0117508189689849	1.44569788893626	0.0136498136945264	GSEA_Hallmark_ACKR1_endothelial_DMED_vs_normal.tsv	True	Retained significant
HALLMARK_MYC_TARGETS_V2	1.68817665468683	0.0143025892997401	1.6645347079468	0.0180375549935379	GSEA_Hallmark_ACKR1_endothelial_DMED_vs_normal.tsv	True	Retained significant
HALLMARK_MYOGENESIS	2.19438037723473	4.96850028029663e-07	2.15977666525275	9.94864746283381e-07	GSEA_Hallmark_ACKR1_endothelial_DMED_vs_normal.tsv	True	Retained significant
HALLMARK_NOTCH_SIGNALING	1.02287615876607	0.465510119785213	1.00520370399645	0.49513247073321	GSEA_Hallmark_ACKR1_endothelial_DMED_vs_normal.tsv	True	Retained non-significant
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.609102078217702	1.0	0.602000937633452	1.0	GSEA_Hallmark_ACKR1_endothelial_DMED_vs_normal.tsv	True	Retained non-significant
HALLMARK_P53_PATHWAY	1.4085834928281	0.0272073924648509	1.4058227402367	0.0357391715853781	GSEA_Hallmark_ACKR1_endothelial_DMED_vs_normal.tsv	True	Retained significant
HALLMARK_PEROXISOME	-1.16154648365391	0.261340991677412	-1.1831102519348	0.227830188679245	GSEA_Hallmark_ACKR1_endothelial_DMED_vs_normal.tsv	True	Retained non-significant
HALLMARK_PI3K_AKT_MTOR_SIGNALING	1.43038310675324	0.0659009197642392	1.43410329119942	0.061577433935086	GSEA_Hallmark_ACKR1_endothelial_DMED_vs_normal.tsv	True	Retained non-significant
HALLMARK_PROTEIN_SECRETION	1.23656181086498	0.178904665314402	1.20196574630068	0.211865258924082	GSEA_Hallmark_ACKR1_endothelial_DMED_vs_normal.tsv	True	Retained non-significant
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	1.17379466256445	0.267464795192881	1.17259878458576	0.312956204379562	GSEA_Hallmark_ACKR1_endothelial_DMED_vs_normal.tsv	True	Retained non-significant
HALLMARK_SPERMATOGENESIS	-1.06293482922428	0.390625	-1.10641341209049	0.325581395348837	GSEA_Hallmark_ACKR1_endothelial_DMED_vs_normal.tsv	True	Retained non-significant
HALLMARK_TGF_BETA_SIGNALING	1.74756543662701	0.0042171873620346	1.76129283384858	0.0068298582614686	GSEA_Hallmark_ACKR1_endothelial_DMED_vs_normal.tsv	True	Retained significant
HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.97324295759793	9.91657404735836e-24	2.93214378533326	3.3586453128819204e-23	GSEA_Hallmark_ACKR1_endothelial_DMED_vs_normal.tsv	True	Retained significant
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	1.58830512854942	0.0113557838010508	1.53802219130801	0.0194878144768369	GSEA_Hallmark_ACKR1_endothelial_DMED_vs_normal.tsv	True	Retained significant
HALLMARK_UV_RESPONSE_DN	1.81462305355447	0.0004605304801961	1.75490840007784	0.0011708640091347	GSEA_Hallmark_ACKR1_endothelial_DMED_vs_normal.tsv	True	Retained significant
HALLMARK_UV_RESPONSE_UP	2.14824282229838	1.96310787776473e-06	2.10784277379666	2.68715737261554e-06	GSEA_Hallmark_ACKR1_endothelial_DMED_vs_normal.tsv	True	Retained significant
HALLMARK_WNT_BETA_CATENIN_SIGNALING	1.01951242283705	0.465510119785213	1.02078960723078	0.45796277997365	GSEA_Hallmark_ACKR1_endothelial_DMED_vs_normal.tsv	True	Retained non-significant
HALLMARK_XENOBIOTIC_METABOLISM	1.14387771167534	0.261340991677412	1.10329499933095	0.325581395348837	GSEA_Hallmark_ACKR1_endothelial_DMED_vs_normal.tsv	True	Retained non-significant
HALLMARK_ADIPOGENESIS	0.885109610828535	0.853037955310682	0.881910427740463	0.834236493044322	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_ALLOGRAFT_REJECTION	-1.06763977286787	0.423884111384111	-1.06857465727317	0.397014925373134	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_ANDROGEN_RESPONSE	1.92240063432026	0.0005407463668938	1.89202388755994	0.0002857503623454	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained significant
HALLMARK_ANGIOGENESIS	1.44169946042641	0.142166344294004	1.39805218124741	0.159393843224373	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_APICAL_JUNCTION	1.2830057808607	0.152455977757183	1.26771798934711	0.159800332778702	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_APICAL_SURFACE	-1.12906311403059	0.404858798865458	-1.13580573306653	0.366319102891993	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_APOPTOSIS	1.56133741314676	0.0093221858643861	1.52571567577177	0.0101093163088007	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained significant
HALLMARK_BILE_ACID_METABOLISM	0.851254073484317	0.853037955310682	0.838376541921595	0.834236493044322	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_CHOLESTEROL_HOMEOSTASIS	1.41549927352847	0.0831534711944287	1.35323994756307	0.159800332778702	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_COAGULATION	0.897595474911526	0.79411408990123	0.883564716521963	0.794420035149385	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_COMPLEMENT	1.18955478620447	0.238339552238806	1.15601087621653	0.289302774944984	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_DNA_REPAIR	-1.16639884822828	0.238339552238806	-1.11784445910085	0.304726368159204	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_E2F_TARGETS	0.889398159904136	0.836740488358887	0.875060501512635	0.834236493044322	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.26076565990935	0.164700659563673	1.21799785846698	0.21481178396072	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_ESTROGEN_RESPONSE_EARLY	1.90352079606911	9.8551408397509e-05	1.83123055385804	0.0002857503623454	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained significant
HALLMARK_ESTROGEN_RESPONSE_LATE	1.61726044088791	0.0091721382653903	1.58487893445283	0.0093535209429219	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained significant
