gene_symbol	endothelial_meta_z	endothelial_meta_FDR	ED_logFC	ED_FDR	historical_best_tier	sensitivity_best_tier
TYMS	-5.00436486423835	8.22168533499272e-05	-2.32192685135268	0.0418815807360207	A	A
EFNB2	3.42110108593749	0.0095242873133657	1.80129329020303	0.0418815807360207	A	A
LRRC17	2.76061089646385	0.0413691660141487	2.13444545292636	0.0496330254982467	A	A
