pathway	revised_bridge_class	strict_clinical_bridge_pass	context	context_label	NES	FDR	FDR_lt_0_05_star
HALLMARK_INFLAMMATORY_RESPONSE	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	osaAM	OSA vs control (AM)	1.72006197681971	0.0001910191001637	True
HALLMARK_INFLAMMATORY_RESPONSE	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	cpapAM	CPAP vs OSA (AM)	-1.0129931670825	0.565867794486216	False
HALLMARK_KRAS_SIGNALING_UP	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	endo243	Endothelial IH dataset 1	1.85130219824646	0.0002496312106701	True
HALLMARK_KRAS_SIGNALING_UP	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	endo205	Endothelial IH dataset 2	1.66362115098214	0.0007374214044996	True
HALLMARK_KRAS_SIGNALING_UP	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	osaAM	OSA vs control (AM)	1.33661571771631	0.0349147761138771	True
HALLMARK_KRAS_SIGNALING_UP	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	cpapAM	CPAP vs OSA (AM)	-1.26257196982988	0.199548846087107	False
HALLMARK_PROTEIN_SECRETION	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	endo243	Endothelial IH dataset 1	2.48560415898228	2.17106751011252e-08	True
HALLMARK_PROTEIN_SECRETION	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	endo205	Endothelial IH dataset 2	1.06074155824953	0.327063106796117	False
HALLMARK_PROTEIN_SECRETION	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	osaAM	OSA vs control (AM)	1.22552488876886	0.169124611013395	False
HALLMARK_PROTEIN_SECRETION	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	cpapAM	CPAP vs OSA (AM)	-1.18411369634129	0.345454545454545	False
HALLMARK_SPERMATOGENESIS	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	endo243	Endothelial IH dataset 1	-1.08171681447071	0.456300456300456	False
HALLMARK_SPERMATOGENESIS	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	endo205	Endothelial IH dataset 2	-1.96933299850208	4.9711143587366e-05	True
HALLMARK_SPERMATOGENESIS	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	osaAM	OSA vs control (AM)	-0.995985548428489	0.513285024154589	False
HALLMARK_SPERMATOGENESIS	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	cpapAM	CPAP vs OSA (AM)	0.81634713830258	0.899869109947644	False
HALLMARK_TGF_BETA_SIGNALING	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	endo243	Endothelial IH dataset 1	1.59014698311988	0.0395837723012869	True
HALLMARK_TGF_BETA_SIGNALING	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	endo205	Endothelial IH dataset 2	1.26059637109456	0.147086914995224	False
HALLMARK_TGF_BETA_SIGNALING	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	osaAM	OSA vs control (AM)	1.18773496685878	0.224110832993771	False
HALLMARK_TGF_BETA_SIGNALING	DIRECTIONAL_PATTERN_FDR_INCOMPLETE	False	cpapAM	CPAP vs OSA (AM)	-0.849241585635365	0.797642223664287	False
