gene_symbol	strict_lodo_FDR_candidate	meta_FDR	GSE243023_logFC	GSE205050_logFC	GSE10723_logFC
RTN4	True	3.6351141673842096e-05	0.51162608071912	0.151052541993261	1.0883752375
NEDD9	True	3.647690399042212e-05	0.43994970868276	0.287035899830606	0.636907468
CXXC5	True	3.686977070363905e-05	0.138171521245667	0.97941490203829	0.69419919925
NUP85	True	3.7316671742491865e-05	-0.252757682408125	-0.534485581123966	-0.3305219575
ATRX	True	4.27153892381469e-05	0.743612909758059	0.136979692958277	0.74517841075
NUP93	True	4.5771703822906605e-05	-0.312844677668377	-0.469415082656286	-0.42904713225
PES1	True	5.203409772476981e-05	-0.644826879449756	-0.328015274618692	-0.278051667
SNX8	True	5.4133282079158776e-05	-0.525961393331402	-0.240970447340867	-0.64729515875
CITED2	True	5.543543057649032e-05	0.231283551827464	0.496029898269836	1.08027559025
DAB2	True	5.543543057649032e-05	0.0645601939378828	0.481523782837705	0.874646679
TUBG1	True	5.543543057649032e-05	-0.787961642380519	-0.673344329016247	-0.219350536
BBX	True	5.9028726752676645e-05	0.352388638918304	0.496624259026169	0.2818445835
PSMC3	True	5.9028726752676645e-05	-0.53507782710655	-0.373058503368292	-0.55440042225
PRMT1	True	6.209031836572838e-05	-0.813697405650837	-0.371885689476478	-0.32875965425
CPD	True	6.818099223096231e-05	0.348611083049171	0.258940412955795	0.53230123975
PPM1G	True	6.818099223096231e-05	-0.649397295026257	-0.415258729156461	-0.54886948175
SLC35A5	True	7.111080006357933e-05	0.541452644279831	0.300964942734322	0.46030328025
EFNB2	True	7.184779587565721e-05	0.537394159189372	0.778837362113263	0.4989798365
NDUFS2	True	7.427840718025513e-05	-0.3766371936812	-0.23971435684448	-0.55671074775
ABHD5	True	7.486640585184304e-05	0.474766500346356	0.484392119800925	0.27567714375
EPHB2	True	7.486640585184304e-05	-0.597588984116547	-0.328741143025496	-0.357086729
SDHA	True	7.486640585184304e-05	-0.452764672660746	-0.376831112223224	-0.3391169135
ZMYM2	True	7.486640585184304e-05	0.490965546249406	0.341486428461262	0.842067295
MAP1LC3B	True	7.971556581260924e-05	0.343977665182305	0.71772140695952	0.859677977
TOMM40	True	7.971556581260924e-05	-0.843633000966366	-0.625629925910113	-0.2574954235
SEC62	True	9.44866931160442e-05	0.496024980725149	0.127380264928711	0.62451339475
TMX3	True	9.777168713728946e-05	0.649968160066506	0.200612103980638	0.506142444
ITGBL1	True	9.882821337505766e-05	0.75896501489148	0.319036036067616	0.29167395525
PLSCR4	True	9.882821337505766e-05	0.62326633308616	0.356585578137147	0.8279439465
SEL1L	True	0.000100277918022	0.561852030400915	0.31075439490253	0.30082536325
PGD	True	0.0001074702428502	-0.644549177482984	-0.28032354288306	-0.22687722875
VMP1	True	0.0001092307350458	0.659496848203967	0.205503063049999	0.41020739725
AKR1C3	True	0.000116666031963	0.218480489283083	0.344414470031436	0.862520266750001
LRRC70	True	0.0001173957677133	0.508782707406417	0.271493427037175	0.610037393
MED13L	True	0.0001173957677133	0.612787051922898	0.295033408260627	0.3245925795
TANC1	True	0.0001173957677133	0.329585887188836	0.279631874985012	0.6467763605
EWSR1	True	0.0001296075959587	-0.356380512454434	-0.286222965660585	-0.509635917625
TM4SF18	True	0.000130126944014	0.34704555717646	0.273261248841043	0.5108109845
WASL	True	0.0001393858889567	0.612033352343628	0.0994055051694307	0.6787430985
CNKSR3	True	0.0001439598456114	0.64679832672907	0.412428192300554	0.532089876
FERMT3	True	0.0001458343297528	-0.743514306443798	-0.284357105757787	-0.907427388
SGIP1	True	0.0001531744313955	0.936390899596919	0.646930636275124	0.114395119
TUBA4A	True	0.0001545714942128	-0.82301879918348	-0.847232660642018	-0.274672746
YTHDF3	True	0.0001593682795699	0.415459035314931	0.223439268254917	0.3873716275
SLC25A10	True	0.0001594859915109	-0.978779481504917	-0.687072949427568	-0.4042834775
RECK	True	0.000162169474527	0.432816629544776	0.343946755984052	0.57101602425
FLRT2	True	0.0001795325541261	0.288628044341465	0.578407447976533	0.4512069645
PTPRB	True	0.0001795325541261	0.858623686172036	0.158700549081757	0.5651366565
SYT11	True	0.0001795325541261	0.389261590534978	0.620023102690809	0.337684926
ELL2	True	0.0001813199408361	0.232058200451307	0.311740645115992	0.693920234
SPTLC1	True	0.0001935636799933	0.42624236391852	0.089574282566895	0.7342960295
SNRPC	True	0.0002104656350023	-0.284699305190223	-0.349766992164662	-0.4000752
ADGRG1	True	0.000217553221285	-0.790242155691927	-0.142354639747285	-0.6554788865
FABP5	True	0.0002231376035999	0.592828085671556	0.486123266443761	0.57762558275
TACC1	True	0.0002251114256348	0.243169371287463	0.239402449264123	0.5606143915
ADSL	True	0.0002284489717545	-0.178983410661798	-0.241012017468409	-0.6743417945
TMEM245	True	0.0002284489717545	0.558699435259192	0.202187304692217	0.4586554765
CCT7	True	0.000228497127898	-0.518391921325206	-0.317216298670115	-0.366163430249999
SPOCD1	True	0.0002470686427518	-0.641393775909526	-0.392028083474695	-0.541812125
EXOSC2	True	0.0002605642095116	-0.206145142668163	-0.417251577492416	-0.792964401249999
RAPGEF2	True	0.0002605642095116	0.301392777174609	0.280528272742053	0.665610463
CEBPG	True	0.0002814225164627	0.553069922911445	0.107723893217943	0.562794413
CINP	True	0.0002814225164627	-0.400854946499567	-0.225252072467297	-0.71994665725
S1PR1	True	0.0002930442101947	0.417754037102822	0.386343597794773	0.90118175925
TOMM34	True	0.0003021168363042	-0.634954360424556	-0.336870036173354	-0.23982527225
TBCD	True	0.0003077258494679	-0.666960152593292	-0.211494785665822	-0.38446258325
PCYT2	True	0.0003140830712884	-0.517477602256037	-0.307784681428339	-0.509093606
RRM2B	True	0.0003140830712884	0.293659155656763	0.581433678893828	0.71702750375
KIF1B	True	0.000336781625873	0.438186923347778	0.438370148342265	0.289968619
CCSER2	True	0.0003412017171007	0.46186302522746	0.38520709004311	0.26372614075
APEH	True	0.0003625253734439	-0.407749193427764	-0.294630828705363	-0.631741819
TAX1BP1	True	0.0003625253734439	0.133860691791403	0.257015899559707	0.75755045025
MT1X	True	0.000368178901491	-0.935283749661893	-0.286393247960542	-0.624304313
VPS25	True	0.000368178901491	-0.645089384072701	-0.0961503075176031	-0.451952593
CAV2	True	0.0004155425218852	0.440954736145292	0.142281948431737	0.558646113625
MMP10	True	0.0004497798060893	0.19724631929586	0.307394479779708	0.7736910925
SERPIND1	True	0.0004785592878234	-0.553504422169991	-1.0913646731676	-0.520318182
