target_gene	condition	database	call_seed	pathway	pval	padj	log2err	ES	NES	size	leadingEdge
EFNB2	organic_ED_nonDM	ED_FDR_SIGNATURES	2026090858	ED_UP_FDR	0.0007764761749457	0.0007764761749457	0.477270815362862	0.617313793390244	1.76264330475721	18	EFNB2;SCUBE2;LRRC17;ADAMTS1;PDK4;HOOK1;PLA2G2A;SMOC1;ENTPD2;CA2;COL4A6;RORB;ATP1A2;TCEAL6;PDE3B
LRRC17	organic_ED_nonDM	ED_FDR_SIGNATURES	2026090859	ED_UP_FDR	0.0006611085988454	0.0006611085988454	0.477270815362862	0.604757929401975	1.7473900882192	18	LRRC17;SCUBE2;ADAMTS1;PDK4;HOOK1;SMOC1;PLA2G2A;ENTPD2;EFNB2;CA2;RORB;COL4A6
TYMS	normal	ED_FDR_SIGNATURES	2026090860	ED_UP_FDR	0.0438775510204082	0.0438775510204082	0.216542836735348	0.483303239217971	1.39435424415536	18	PLA2G2A;SMOC1;ATP1A2;SCUBE2;ENTPD2;LRRC17;HMCN2;ADAMTS1;HOOK1;PDK4;EFNB2;COL4A6;TCEAL6;CA2
