pathway	cell_type	endo243_NES	endo243_FDR	endo205_NES	endo205_FDR	pbmcIH_NES	pbmcIH_FDR	osaAM_NES	osaAM_FDR	osaPM_NES	osaPM_FDR	cpapAM_NES	cpapAM_FDR	cpapPM_NES	cpapPM_FDR	endothelial_NES_mean	endothelial_direction_concordant	OSA_CPAP_reversal_AM	OSA_CPAP_reversal_PM	endothelial_max_FDR	NES	padj	IH_ED_direction_concordant	cross_context_significant	pathway_label	cell_type_label	display_rule	frozen_display_flag
HALLMARK_HYPOXIA	ACKR1_endothelial	1.45358903432419	0.0174280493834221	1.33328254424053	0.0226752901405183	0.942332357436368	0.85949920508744	1.82426125773342	2.29161136045459e-05	1.01746603217467	0.56230727371667	-1.45569282813493	0.0395045146127345	-1.20592087855326	0.243018734535171	1.39343578928236	True	True	True	0.0226752901405183	1.73892213083927	0.0011230483375587	True	True	Hypoxia	ACKR1 EC	All pathways with >=1 pre-existing cross_context_significant row; Hypoxia first, then descending number of flagged compartments and alphabetical ties.	True
HALLMARK_HYPOXIA	vascular_endothelial	1.45358903432419	0.0174280493834221	1.33328254424053	0.0226752901405183	0.942332357436368	0.85949920508744	1.82426125773342	2.29161136045459e-05	1.01746603217467	0.56230727371667	-1.45569282813493	0.0395045146127345	-1.20592087855326	0.243018734535171	1.39343578928236	True	True	True	0.0226752901405183	2.16242656159442	7.17221399216057e-08	True	True	Hypoxia	Vascular EC	All pathways with >=1 pre-existing cross_context_significant row; Hypoxia first, then descending number of flagged compartments and alphabetical ties.	True
HALLMARK_HYPOXIA	pericyte	1.45358903432419	0.0174280493834221	1.33328254424053	0.0226752901405183	0.942332357436368	0.85949920508744	1.82426125773342	2.29161136045459e-05	1.01746603217467	0.56230727371667	-1.45569282813493	0.0395045146127345	-1.20592087855326	0.243018734535171	1.39343578928236	True	True	True	0.0226752901405183	1.73527732549104	0.0059327320675965	True	True	Hypoxia	Pericyte	All pathways with >=1 pre-existing cross_context_significant row; Hypoxia first, then descending number of flagged compartments and alphabetical ties.	True
HALLMARK_HYPOXIA	fibroblast	1.45358903432419	0.0174280493834221	1.33328254424053	0.0226752901405183	0.942332357436368	0.85949920508744	1.82426125773342	2.29161136045459e-05	1.01746603217467	0.56230727371667	-1.45569282813493	0.0395045146127345	-1.20592087855326	0.243018734535171	1.39343578928236	True	True	True	0.0226752901405183	1.75737815395189	0.0004418419365103	True	True	Hypoxia	Fibroblast	All pathways with >=1 pre-existing cross_context_significant row; Hypoxia first, then descending number of flagged compartments and alphabetical ties.	True
HALLMARK_HYPOXIA	smooth_muscle	1.45358903432419	0.0174280493834221	1.33328254424053	0.0226752901405183	0.942332357436368	0.85949920508744	1.82426125773342	2.29161136045459e-05	1.01746603217467	0.56230727371667	-1.45569282813493	0.0395045146127345	-1.20592087855326	0.243018734535171	1.39343578928236	True	True	True	0.0226752901405183	1.93996486080161	9.64143625877672e-05	True	True	Hypoxia	Smooth muscle	All pathways with >=1 pre-existing cross_context_significant row; Hypoxia first, then descending number of flagged compartments and alphabetical ties.	True
HALLMARK_HYPOXIA	macrophage_myeloid	1.45358903432419	0.0174280493834221	1.33328254424053	0.0226752901405183	0.942332357436368	0.85949920508744	1.82426125773342	2.29161136045459e-05	1.01746603217467	0.56230727371667	-1.45569282813493	0.0395045146127345	-1.20592087855326	0.243018734535171	1.39343578928236	True	True	True	0.0226752901405183	1.48990957035252	0.049852892166496	True	True	Hypoxia	Macrophage	All pathways with >=1 pre-existing cross_context_significant row; Hypoxia first, then descending number of flagged compartments and alphabetical ties.	True
HALLMARK_HYPOXIA	T_cell	1.45358903432419	0.0174280493834221	1.33328254424053	0.0226752901405183	0.942332357436368	0.85949920508744	1.82426125773342	2.29161136045459e-05	1.01746603217467	0.56230727371667	-1.45569282813493	0.0395045146127345	-1.20592087855326	0.243018734535171	1.39343578928236	True	True	True	0.0226752901405183	1.0283882071431	0.550709175348312	True	False	Hypoxia	T cell	All pathways with >=1 pre-existing cross_context_significant row; Hypoxia first, then descending number of flagged compartments and alphabetical ties.	False
HALLMARK_TNFA_SIGNALING_VIA_NFKB	ACKR1_endothelial	1.75471492159057	0.0002496312106701	2.13003270263695	2.9971670501793102e-09	0.77229454745369	0.944459172852598	1.58615631773951	0.0018047190678078	-1.11533414386701	0.406994271932469	1.0753695203846	0.445134575569358	-0.812619721545434	0.908173562058527	1.94237381211376	True	False	False	0.0002496312106701	2.77139642465565	7.013132583888979e-18	True	True	TNFα signaling via NF-κB	ACKR1 EC	All pathways with >=1 pre-existing cross_context_significant row; Hypoxia first, then descending number of flagged compartments and alphabetical ties.	True
HALLMARK_TNFA_SIGNALING_VIA_NFKB	vascular_endothelial	1.75471492159057	0.0002496312106701	2.13003270263695	2.9971670501793102e-09	0.77229454745369	0.944459172852598	1.58615631773951	0.0018047190678078	-1.11533414386701	0.406994271932469	1.0753695203846	0.445134575569358	-0.812619721545434	0.908173562058527	1.94237381211376	True	False	False	0.0002496312106701	3.14471005951074	4.69298307445795e-32	True	True	TNFα signaling via NF-κB	Vascular EC	All pathways with >=1 pre-existing cross_context_significant row; Hypoxia first, then descending number of flagged compartments and alphabetical ties.	True
HALLMARK_TNFA_SIGNALING_VIA_NFKB	pericyte	1.75471492159057	0.0002496312106701	2.13003270263695	2.9971670501793102e-09	0.77229454745369	0.944459172852598	1.58615631773951	0.0018047190678078	-1.11533414386701	0.406994271932469	1.0753695203846	0.445134575569358	-0.812619721545434	0.908173562058527	1.94237381211376	True	False	False	0.0002496312106701	2.92159204940835	2.60000357852932e-18	True	True	TNFα signaling via NF-κB	Pericyte	All pathways with >=1 pre-existing cross_context_significant row; Hypoxia first, then descending number of flagged compartments and alphabetical ties.	True
